gh_project_name,team,lang,sloc,tests_per_kloc,build_success
FontCustom/fontcustom,3,ruby,820,146.757679180887,0.7665198237885462
ForgeEssentials/ForgeEssentialsMain,11,java,46467,0,0.927710843373494
foursquare/fongo,3,java,3998,93.3812211390457,0.96
foursquare/twofishes,10,java,201,0,0.3630769230769231
fphilipe/premailer-rails,4,ruby,581,127.81954887218,0.5529411764705883
frab/frab,8,ruby,6669,0.173220162826953,0.8928571428571429
franckverrot/activevalidators,8,ruby,640,267.139479905437,0.4711111111111111
fredjean/middleman-s3_sync,9,ruby,671,44.5269016697588,0.9419014084507042
freerange/mocha,8,ruby,3216,263.002582073036,0.6957264957264957
Frege/frege,5,java,17281,0,0.8313253012048193
Fullscreen/bh,10,ruby,1403,6.45161290322581,0.9607843137254902
Fullscreen/yt,6,ruby,3165,57.4712643678161,0.6911764705882353
futuresimple/android-db-commons,7,java,4213,87.5727663882561,0.954248366013072
gabrielemariotti/cardslib,3,java,29731,0,0.8260869565217391
gamache/hyperresource,6,ruby,1066,79.3157076205288,0.5081081081081081
garethr/garethr-docker,10,ruby,298,722.89156626506,0.9225315126050421
garybernhardt/selecta,4,ruby,50031,2727.27272727273,0.9263157894736842
gavinlaking/vedeu,3,ruby,32343,3.93900889453621,0.914868804664723
gazay/gon,3,ruby,712,115.264797507788,0.8856053384175405
Gazler/githug,6,ruby,1591,98.8526037069726,0.9177142857142857
Gazler/rapidash,3,ruby,429,255.154639175258,0.8102189781021898
gedankenstuecke/snpr,7,ruby,5492,24.8198558847078,0.6821877309682187
geminabox/geminabox,6,ruby,1192,66.6666666666667,0.6216216216216216
geoserver/geoserver,65,java,335090,16.7412742755209,0.468141045468605
getsentry/raven-java,8,java,5348,78.5592739648327,0.7885402455661664
gettalong/kramdown,6,ruby,6805,0.748727163821504,0.6501766784452296
ging/social_stream,8,ruby,8612,200,0.7612218724495744
GiocoApp/gioco,2,ruby,371,73.8636363636364,0.774390243902439
gistflow/gistflow,2,ruby,2911,34.5094998061264,0.6758893280632411
git/git-scm.com,7,ruby,2034,22.80348759222,0.8634361233480177
